,Ticker,2023-12-31,2023-11-30,2023-10-31,2023-09-30,2023-08-31,2023-07-31,2023-06-30,2023-05-31,2023-04-30,2023-03-31,2023-02-28,2023-01-31,2022-12-31,2022-11-30,2022-10-31,2022-09-30,2022-08-31,2022-07-31,2022-06-30,2022-05-31,2022-04-30,2022-03-31,2022-02-28,2022-01-31,2021-12-31,2021-11-30,2021-10-31,2021-09-30,2021-08-31,2021-07-31,2021-06-30,2021-05-31,2021-04-30,2021-03-31,2021-02-28,2021-01-31,2020-12-31,2020-11-30,2020-10-31,2020-09-30,2020-08-31,2020-07-31,2020-06-30,2020-05-31,2020-04-30,2020-03-31,2020-02-29
0,LIN,,,,,,,,,,,,,5691000000.0,,,,,,,,,,,,6639000000.0,,,,,,,,,,,,4029000000.0,,,,,,,,,,
1,CCL,,997000000.0,,,,,,,,,,,,-6610000000.0,,,,,,,,,,,,-7716000000.0,,,,,,,,,,,,-9921000000.0,,,,,,,,,
2,CUK,,997000000.0,,,,,,,,,,,,-6610000000.0,,,,,,,,,,,,-7716000000.0,,,,,,,,,,,,-9921000000.0,,,,,,,,,
3,CUKPF,,997000000.0,,,,,,,,,,,,-6610000000.0,,,,,,,,,,,,-7716000000.0,,,,,,,,,,,,-9921000000.0,,,,,,,,,
4,STE,,,,,,,,,,394978000.0,,,,,,,,,,,,397248000.0,,,,,,,,,,,,450378000.0,,,,,,,,,,,,376043000.0,
5,MMM,5065000000.0,,,,,,,,,,,,3842000000.0,,,,,,,,,,,,5851000000.0,,,,,,,,,,,,6612000000.0,,,,,,,,,,
6,AXP,,,,,,,,,,,,,19224000000.0,,,,,,,,,,,,13095000000.0,,,,,,,,,,,,4113000000.0,,,,,,,,,,
7,AAPL,,,,99584000000.0,,,,,,,,,,,,111443000000.0,,,,,,,,,,,,92953000000.0,,,,,,,,,,,,73365000000.0,,,,,,,
8,BA,4433000000.0,,,,,,,,,,,,2290000000.0,,,,,,,,,,,,-4396000000.0,,,,,,,,,,,,-19713000000.0,,,,,,,,,,
9,CAT,,,,,,,,,,,,,5167000000.0,,,,,,,,,,,,4726000000.0,,,,,,,,,,,,4212000000.0,,,,,,,,,,
10,CVX,,,,,,,,,,,,,37628000000.0,,,,,,,,,,,,21131000000.0,,,,,,,,,,,,1655000000.0,,,,,,,,,,
11,CSCO,,,,,,19037000000.0,,,,,,,,,,,,12749000000.0,,,,,,,,,,,,14762000000.0,,,,,,,,,,,,14656000000.0,,,,,
